university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad de flores	ingeniería en informática	2020-12-09	daniel	brown	male	83	1633	empalme	khodges@gmail.com
universidad de flores	licenciatura en ciencias biológicas	2020-09-23	john	powell	male	54	1633	empalme	joshua48@yahoo.com
universidad de flores	licenciatura en ciencia y tecnología de alimentos	2020-11-03	rachel	wade	female	80	1633	empalme	jortiz@hotmail.com
universidad de flores	licenciatura en ciencias antropológicas	2020-09-11	ms.	amy	female	31	5777	adolfo rodriguez saa	dmadden@hotmail.com
universidad de flores	licenciatura en ciencias ambientales	2020-09-18	david	huber	male	70	4605	alisos  de abajo	wwebb@hotmail.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-12-22	tim	cox	male	18	5622	colonia jauregui	aliciapearson@hotmail.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-10-19	breanna	anderson	female	67	5622	colonia jauregui	rreilly@hotmail.com
universidad de flores	licenciatura en gestión de agroalimentos	2021-01-07	clayton	reynolds	male	58	5622	colonia jauregui	laura25@hotmail.com
universidad de flores	licenciatura en ciencia y tecnología de alimentos	2021-01-07	maria	acevedo	female	31	5622	colonia jauregui	ryanbrown@hotmail.com
universidad de flores	contador público	2020-10-05	dustin	ford	male	65	3308	candelaria	heather20@hotmail.com
universidad de flores	ciencias veterinarias	2020-11-03	rebecca	walters	female	30	2508	armstrong	novakbrandon@yahoo.com
universidad de flores	licenciatura en ciencias de la computación	2021-01-28	robert	miller	male	83	2508	armstrong	ufaulkner@yahoo.com
universidad de flores	licenciatura en ciencias ambientales	2021-01-11	carlos	arnold	male	25	2508	armstrong	gsmith@hotmail.com
universidad de flores	licenciatura en ciencias antropológicas	2020-12-27	megan	price	female	37	4163	huasa pampa norte	charlesphillips@gmail.com
universidad de flores	licenciatura en musicoterapia	2020-12-30	stephen	wolf	male	79	4163	huasa pampa norte	mbarber@gmail.com
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-11-11	emily	wilson	female	83	3328	colonia japonesa	mark19@hotmail.com
universidad de flores	ingeniería electrónica	2021-01-23	christopher	smith	male	65	3328	colonia japonesa	qsantiago@hotmail.com
universidad de flores	licenciatura en ciencias biológicas	2020-12-04	laura	clay	female	19	1659	campo de mayo	kellyjordan@yahoo.com
universidad de flores	farmacia	2020-12-27	sara	hansen	female	64	5572	alto grande	mdavis@yahoo.com
universidad de flores	técnico para bioterios	2020-10-17	tracy	powell	male	44	2615	la gama	frederickjennifer@gmail.com
universidad de flores	bioquímica	2020-12-26	heather	lopez	female	33	3522	el retiro	davilalori@gmail.com
universidad de flores	licenciatura en relaciones del trabajo	2020-10-22	renee	farmer	female	57	3522	el retiro	michael22@gmail.com
universidad de flores	diseño de imagen y sonido	2020-09-29	kimberly	daniels	female	28	1665	jose clemente paz	fosterjoshua@yahoo.com
universidad de flores	ingeniería electrónica	2020-09-01	curtis	mccormick	male	68	1665	jose clemente paz	mooreamy@yahoo.com
universidad de flores	técnico para bioterios	2020-09-07	elizabeth	smith	female	35	1665	jose clemente paz	prichard@hotmail.com
universidad de flores	ciencias veterinarias	2020-12-26	tyler	davis	male	60	1754	san justo	thompsonrandy@yahoo.com
universidad de flores	licenciatura en ciencias geológicas	2020-10-13	joseph	allen	male	50	5411	la legua	hclark@yahoo.com
universidad de flores	ingeniería en informática	2020-11-19	jessica	calhoun	female	66	3105	diamante	maryfowler@yahoo.com
universidad de flores	licenciatura en ciencias biológicas	2020-09-05	judith	wiggins	female	24	3105	diamante	johnsonbarbara@yahoo.com
universidad de flores	licenciatura en terapia ocupacional	2020-10-01	amber	fields	female	32	4616	barcena	cynthiabryant@yahoo.com
universidad de flores	ingeniería en informática	2020-10-27	andrew	gordon	male	20	8311	villa el chocon	brian06@hotmail.com
universidad de flores	medicina	2020-11-23	lee	johnston	male	63	7220	funke	heather55@hotmail.com
universidad de flores	contador público	2020-10-09	blake	thomas	male	58	6457	ingeniero beaugey	zwhite@hotmail.com
universidad de flores	bioquímica	2021-01-05	justin	wolfe	male	45	3543	colonia lote 12	lorimiller@yahoo.com
universidad de flores	actuario	2020-10-19	john	flores	male	21	5435	algarrobo grande	ruizthomas@gmail.com
universidad de flores	licenciatura en artes	2020-12-10	michael	gonzalez	male	25	6058	pazos kanki	ashelton@gmail.com
universidad de flores	licenciatura en musicoterapia	2021-01-21	suzanne	miller	female	54	6058	pazos kanki	elizabethfry@hotmail.com
universidad de flores	licenciatura en ciencias antropológicas	2020-11-27	daniel	hubbard	male	89	6058	pazos kanki	johnsonmark@hotmail.com
universidad de flores	diseño industrial	2020-11-22	joseph	benson	male	58	6058	pazos kanki	zjones@gmail.com
universidad de flores	ciencias veterinarias	2020-11-29	logan	cabrera	male	71	6628	colonia zambungo	jennifer57@hotmail.com
universidad de flores	arquitectura	2021-01-26	michael	adams	male	76	3170	alberto gerchunoff	qjohnson@yahoo.com
universidad de flores	licenciatura en ciencias ambientales	2020-11-29	john	rodriguez	male	65	3170	alberto gerchunoff	grobbins@gmail.com
universidad de flores	licenciatura en ciencias geológicas	2020-11-14	crystal	green	female	77	3170	alberto gerchunoff	wwilliams@yahoo.com
universidad de flores	ciencias veterinarias	2021-01-25	cheryl	thompson	female	79	3185	colonia la marta	joseph95@hotmail.com
universidad de flores	ingeniería en informática	2021-01-21	melinda	brown	female	76	7203	chapaleufu	johnsontonya@hotmail.com
universidad de flores	ingeniería mecánica	2020-11-30	monica	thompson	female	33	7203	chapaleufu	cassie56@hotmail.com
universidad de flores	licenciatura en sociología	2020-12-18	andrea	garcia	female	78	6007	arribeños	walshcourtney@yahoo.com
universidad de flores	licenciatura en ciencias ambientales	2020-09-13	patricia	torres	female	64	2701	12 de agosto	villavictoria@gmail.com
universidad de flores	medicina	2020-09-02	colleen	rogers	female	50	2701	12 de agosto	kimberlyhines@yahoo.com
universidad de flores	arquitectura	2020-11-21	brian	mitchell	male	34	3045	campo zavalla	ryanreed@gmail.com
universidad de flores	licenciatura en relaciones del trabajo	2020-12-03	danielle	russell	female	44	6537	el camoati	elizabethhodge@gmail.com
universidad de flores	actuario	2020-11-25	jeffrey	hill	male	24	6537	el camoati	hopkinsheather@hotmail.com
