university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
univ. nacional del comahue	contador público 	2020-10-31	amanda	hill	female	32		nan	tyler57@hotmail.com
univ. nacional del comahue	agronomía	2021-01-31	ryan	davis	male	87		nan	patriciazamora@gmail.com
univ. nacional del comahue	diseño industrial	2020-12-03	sandra	burton	female	52		nan	kleinlauren@gmail.com
univ. nacional del comahue	licenciatura en ciencias geológicas	2020-11-24	rebekah	gonzales	female	43		nan	mterry@yahoo.com
univ. nacional del comahue	licenciatura en gestión de agroalimentos	2020-10-23	laura	gibson	female	83		nan	carmenmckinney@yahoo.com
univ. nacional del comahue	licenciatura en ciencias biológicas	2021-01-09	michael	mcdonald	male	65		nan	benjamin45@yahoo.com
univ. nacional del comahue	licenciatura en gestión de agroalimentos	2021-01-01	stephen	mathis	male	75		nan	christine82@yahoo.com
univ. nacional del comahue	arquitectura	2020-10-11	cody	hunt md	male	55		nan	keith37@hotmail.com
univ. nacional del comahue	ingeniería en informática	2020-11-19	melissa	robertson	female	29		nan	josephking@gmail.com
univ. nacional del comahue	licenciatura en producción de bioimagenes	2020-09-18	jane	campbell	female	20		nan	gillespiebrian@yahoo.com
univ. nacional del comahue	licenciatura en ciencia política 	2020-10-14	barbara	spears	female	51		nan	cindy96@hotmail.com
univ. nacional del comahue	diseño industrial	2020-11-05	joshua	stokes	male	75		nan	jennifer73@gmail.com
univ. nacional del comahue	agronomía	2020-12-23	gary	christensen	male	29		nan	james83@hotmail.com
univ. nacional del comahue	licenciatura en ciencias de la computación	2020-09-06	james	petty	male	53		nan	ethanjimenez@hotmail.com
univ. nacional del comahue	técnico para bioterios 	2020-10-07	victoria	ford	female	90		nan	danagoodwin@hotmail.com
univ. nacional del comahue	licenciatura en musicoterapia	2020-10-05	tyler	ross	male	39		nan	tanneryolanda@hotmail.com
univ. nacional del comahue	licenciatura en sociología 	2020-11-25	latasha	cook	female	35		nan	derek68@gmail.com
univ. nacional del comahue	licenciatura en ciencias ambientales	2020-09-24	susan	wallace	female	19		nan	lauren17@gmail.com
univ. nacional del comahue	licenciatura en ciencia política 	2020-11-29	ana	key	female	45		nan	ramossteven@gmail.com
