university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,jeffrey,nash,male,84,1748,general rodriguez,bmorgan@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,melissa,reynolds,female,18,3371,cabure,jonathon04@hotmail.com
universidad tecnológica nacional,licenciatura en sociología,2021-01-17,leonard,weber,male,86,1723,mariano acosta,dmercado@yahoo.com
universidad tecnológica nacional,arquitectura,2020-10-09,danny,brown,male,49,1826,remedios de escalada,lisa01@hotmail.com
universidad tecnológica nacional,licenciatura en sociología,2020-11-05,william,williams,male,82,4740,agua salada,smithemma@gmail.com
universidad tecnológica nacional,licenciatura en sociología,2020-10-08,sierra,dean,female,45,5436,colonia zapata,lhobbs@gmail.com
universidad tecnológica nacional,ingeniería electrónica,2020-09-30,jeffrey,martin,male,39,4648,barrio la union,steven54@hotmail.com
universidad tecnológica nacional,bioquímica,2020-11-05,michael,watkins,male,66,9031,bajo la cancha,michelle01@hotmail.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-09,nicole,giles,female,18,2605,otto bemberg,susanmatthews@hotmail.com
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-24,nichole,lee,female,23,9223,alto rio pico,jameswong@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,debra,dixon,female,71,1842,el jaguel,weaverroberto@yahoo.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-03,lucas,villarreal,male,90,7400,barrio la luisa,joshua15@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda,bryant,female,38,4119,agua colorada,fwallace@hotmail.com
universidad tecnológica nacional,arquitectura,2020-11-13,jennifer,ellis,female,26,1983,gomez,bankschristopher@yahoo.com
universidad tecnológica nacional,licenciatura en administración,2020-09-15,jacob,gibson,male,82,7311,chillar,beverlytucker@hotmail.com
universidad tecnológica nacional,licenciatura en sociología,2021-01-06,david,harris,male,61,2415,desvio boero,charlotte54@hotmail.com
universidad tecnológica nacional,ciencias veterinarias,2020-09-26,matthew,dunn,male,33,3338,17 de agosto,rebecca25@gmail.com
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-03,deborah,mclaughlin,female,42,2200,las quintas,wilsonerin@yahoo.com
universidad tecnológica nacional,contador público,2020-09-21,stacey,case,female,63,4109,alto nuestra señora del valle,greenhoward@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-23,marie,schwartz,female,57,5427,apeadero quiroga,mosleydavid@hotmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-24,julie,curtis,female,77,8373,alianza,ellisanthony@gmail.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-08,julie,herrera,female,18,3007,empalme san carlos,martincharles@hotmail.com
universidad tecnológica nacional,licenciatura en sociología,2020-09-02,ryan,bowen,male,42,6000,barrio carosio,tyrone84@hotmail.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-07,mark,hernandez,male,69,5372,nonogasta,pattersonstephanie@yahoo.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,jessica,richardson,female,51,6313,bajo de las palomas,hansondavid@gmail.com
universidad tecnológica nacional,licenciatura en administración,2020-09-09,emily,jones,female,38,4168,agua blanca,monicabeasley@yahoo.com
universidad tecnológica nacional,contador público,2020-09-24,dennis,hurst,male,70,2309,colonia reina margarita,rebecca05@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-16,chelsea,white,female,84,6338,leubuco,tina40@gmail.com
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-21,emily,hall,female,81,8402,dina huapi,vicki56@yahoo.com
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,christina,porter,female,37,3621,pozo navagan,meltonstephen@hotmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-24,jared,larson,male,28,5505,carbometal,taylor96@gmail.com
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,darren,lee,male,54,3218,arroyo palmar,evanskatherine@yahoo.com
