university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
Universidad de morón	Licenciatura en artes	2020-10-28	Sandra	simpson	female	85	3083	grutly	Spencermurphy@hotmail.com
Universidad de morón	Licenciatura en administración	2021-01-24	Jennifer	kidd	female	46	5471	agua blanca	Alexisstokes@yahoo.com
Universidad de morón	Licenciatura en ciencia y tecnología de alimentos	2020-11-09	Robyn	walsh	female	54	4601	corral de piedras	Dawn84@hotmail.com
Universidad de morón	Ciencias veterinarias	2020-12-02	Samantha	thompson	female	27	5509	agrelo	Meganolson@hotmail.com
Universidad de morón	Arquitectura	2020-10-08	James	lopez	male	26	5589	chapanay	Victor92@yahoo.com
Universidad de morón	Bioquímica	2020-12-20	Benjamin	thomas	male	57	4166	balderrama	Hicksriley@gmail.com
Universidad de morón	Licenciatura en ciencias ambientales	2020-10-08	James	wang	male	43	7167	carilo	Websterdorothy@yahoo.com
Universidad de morón	Licenciatura en ciencias geológicas	2021-01-28	Richard	bailey	male	82	4740	agua salada	Braymarcia@gmail.com
Universidad de morón	Bioquímica	2020-10-28	Maria	patterson	female	49	7260	barrio villa saladillo	Kari89@gmail.com
Universidad de morón	Licenciatura en terapia ocupacional	2020-09-20	Amy	warren	female	86	3501	campo de galnasi	Jessicabrown@gmail.com
Universidad de morón	Licenciatura en relaciones del trabajo	2020-12-08	Alexander	harvey	male	83	3557	caraguatay	Michael67@hotmail.com
Universidad de morón	Licenciatura en ciencias geológicas	2020-09-18	Pedro	sparks	male	81	2347	colonia mackinlay	Stephanielittle@hotmail.com
Universidad de morón	Contador público	2020-12-17	Sara	glass	female	41	3244	colonia belga americana	Lawrencejackson@yahoo.com
Universidad de morón	Licenciatura en ciencias ambientales	2020-09-07	Courtney	hopkins	female	23	3486	villa olivari	Theresa12@yahoo.com
Universidad de morón	Licenciatura en kinesiología y fisiatría	2020-09-17	Lori	gill	female	62	6221	ceballos	Cody67@yahoo.com
Universidad de morón	Licenciatura en gestión de agroalimentos	2020-12-24	Christina	thompson	female	70	2500	cañada de gomez	Jacksondesiree@gmail.com
Universidad de morón	Licenciatura en planificación y diseño del paisaje	2020-10-18	brandon	marquez	male	72	4413	catua	Jeffreyharris@gmail.com
Universidad de morón	Ingeniería mecánica	2021-01-02	Deborah	barrett	female	76	5605	calle larga vieja	Jarvisstephanie@gmail.com
Universidad de morón	Farmacia	2020-09-14	Jasmine	davis	female	31	2200	las quintas	Danataylor@yahoo.com
Universidad de morón	Ingeniería en informática	2021-01-17	Andrew	george	male	73	2311	adolfo alsina	Zsolomon@gmail.com
Universidad de morón	Agronomía	2021-01-08	Justin	newman	male	68	2607	campo quirno	Victoria34@hotmail.com
