last_name	gender	address	emails	birth_date	universities	inscription_date	careers	zipcodes	age
daniel-haas	m	"228-robert-branch
north-joanville,-ms-67810"	kwoods@hotmail.com	71-Oct-17	universidad-de-buenos-aires	19-Oct-26	técnico-para-bioterios-	3192	51
amy-wallace	f	"4440-edward-junctions-apt.-088
east-brian,-ar-23045"	brookejones@yahoo.com	21-Mar-12	universidad-de-buenos-aires	20-Sep-24	actuario-	8431	1
jody-kirk	f	"3452-adam-mountains
kingburgh,-mn-04132"	tinaturner@hotmail.com	67-Oct-26	universidad-de-buenos-aires	21-Jul-14	actuario-	3425	-45
angela-hudson	f	"8672-rasmussen-way
leviville,-id-98957"	cpatterson@yahoo.com	05-Feb-21	universidad-de-buenos-aires	20-Sep-27	licenciatura-en-gestión-de-agroalimentos	3151	17
ashley-brown	f	"psc-6274,-box-1394
apo-ap-22919"	turnerveronica@hotmail.com	35-Sep-28	universidad-de-buenos-aires	20-Feb-01	ingeniería-en-informática	6706	-13
jessica-sandoval	f	"4934-robyn-burg
lake-sandy,-al-36317"	melinda04@hotmail.com	45-Sep-12	universidad-de-buenos-aires	20-Oct-18	medicina	6601	-23
michael-coleman	m	"2427-smith-wells-apt.-698
tinahaven,-ga-84731"	evansjoshua@hotmail.com	04-Jun-27	universidad-de-buenos-aires	21-May-04	bioquímica	1816	18
amy-lopez	f	"34896-debra-mountains-suite-710
mannshire,-ga-07683"	jschultz@hotmail.com	41-Jul-12	universidad-de-buenos-aires	21-Jun-13	medicina	8409	-19
joseph-shah	m	"4804-joseph-freeway-suite-267
danielmouth,-ny-17304"	lynchjasmine@yahoo.com	43-Oct-25	universidad-de-buenos-aires	20-Jan-20	licenciatura-en-ciencias-de-la-computación	3563	-21
mark-huffman	m	"80577-boyd-plains-suite-299
east-mauricefort,-ms-39137"	nealtravis@hotmail.com	89-Mar-05	universidad-de-buenos-aires	20-Feb-08	ingeniería-mecánica	5319	33
stephanie-montoya	f	"1873-west-spring
davidberg,-tn-75056"	mlewis@gmail.com	07-Oct-07	universidad-de-buenos-aires	21-Feb-13	arquitectura	2723	15
barbara-schroeder	f	"uscgc-jones
fpo-ae-11010"	matthew27@gmail.com	06-Jul-07	universidad-de-buenos-aires	20-Apr-17	licenciatura-en-ciencias-antropológicas	5594	16
thomas-bernard	m	"29761-kimberly-bypass-apt.-013
mckaychester,-pa-33667"	hbrown@gmail.com	18-Oct-03	universidad-de-buenos-aires	19-Dec-24	licenciatura-en-sociología-	1917	4
