,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-11-01,,CHELSEA TAYLOR,F,1922-03-18,6200,,MICHAEL67@GMAIL.COM
1,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-12-09,,DANIEL BROWN,M,1939-09-29,1633,,KHODGES@GMAIL.COM
2,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-11,,MS. AMY SCOTT,F,1991-05-12,5777,,DMADDEN@HOTMAIL.COM
3,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-18,,DAVID HUBER,M,1952-04-02,4605,,WWEBB@HOTMAIL.COM
4,UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-06,,STEVEN MUNOZ,M,1955-03-26,5381,,CHRISTOPHER00@YAHOO.COM
5,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-22,,TIM COX,M,2004-02-27,5622,,ALICIAPEARSON@HOTMAIL.COM
6,UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-12-22,,JOANN DOMINGUEZ,F,1916-07-28,3308,,ELIZABETH50@HOTMAIL.COM
7,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-19,,MRS. BREANNA ANDERSON MD,F,1955-09-27,5622,,RREILLY@HOTMAIL.COM
8,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-20,,IAN LEWIS,M,2006-04-29,2508,,KIMANN@HOTMAIL.COM
9,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-08,,ALEXANDER WILLIAMS,M,2008-05-21,4163,,LESLIE97@GMAIL.COM
10,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-11,,EMILY WILSON,F,1939-05-20,3328,,MARK19@HOTMAIL.COM
11,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-12-04,,LAURA CLAY,F,2003-08-23,1659,,KELLYJORDAN@YAHOO.COM
12,UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2021-01-16,,BRIAN ALEXANDER,M,1910-06-03,3706,,MPOWELL@GMAIL.COM
13,UNIVERSIDAD DE FLORES,AGRONOMÍA,2021-01-18,,ERIK ADAMS,M,2009-05-30,6077,,VICTOR43@YAHOO.COM
14,UNIVERSIDAD DE FLORES,FARMACIA,2020-12-27,,SARA HANSEN,F,1958-05-17,5572,,MDAVIS@YAHOO.COM
15,UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-29,,FRANK FIELDS,M,1908-04-14,3531,,KATHY78@GMAIL.COM
16,UNIVERSIDAD DE FLORES,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-27,,SANDRA WHITE,F,2013-03-17,6476,,TARA67@HOTMAIL.COM
17,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-12-09,,LOGAN MELTON,M,1926-11-12,6405,,KAYLA62@GMAIL.COM
18,UNIVERSIDAD DE FLORES,INGENIERÍA MECÁNICA,2020-09-11,,MICHAEL DOWNS,M,1918-11-18,3109,,YNELSON@GMAIL.COM
19,UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-11-07,,SARAH HODGE,F,1926-08-11,2615,,EWILLIS@HOTMAIL.COM
20,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-12-26,,HEATHER LOPEZ,F,1989-07-22,3522,,DAVILALORI@GMAIL.COM
21,UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-29,,KIMBERLY DANIELS,F,1994-11-01,1665,,FOSTERJOSHUA@YAHOO.COM
22,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-12-26,,TYLER DAVIS,M,1962-01-15,1754,,THOMPSONRANDY@YAHOO.COM
23,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-10-03,,ANNA SCOTT,F,1906-12-03,5411,,BOYDBRENDA@YAHOO.COM
24,UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-27,,JESSICA LEE,F,2018-02-12,8175,,RHAMPTON@GMAIL.COM
25,UNIVERSIDAD DE FLORES,LICENCIATURA EN ARTES,2020-12-10,,GREGORY POWERS,M,1905-12-11,3105,,JOSHUA53@GMAIL.COM
26,UNIVERSIDAD DE FLORES,LICENCIATURA EN TERAPIA OCUPACIONAL,2020-10-01,,AMBER FIELDS,F,1989-11-27,4616,,CYNTHIABRYANT@YAHOO.COM
27,UNIVERSIDAD DE FLORES,LICENCIATURA EN ADMINISTRACIÓN ,2020-09-14,,BRUCE JOHNSON,M,1919-02-19,8311,,AARONCONNER@GMAIL.COM
28,UNIVERSIDAD DE FLORES,MEDICINA,2020-11-23,,LEE JOHNSTON,M,1959-06-04,7220,,HEATHER55@HOTMAIL.COM
29,UNIVERSIDAD DE FLORES,CONTADOR PÚBLICO ,2020-10-09,,BLAKE THOMAS,M,1964-09-15,6457,,ZWHITE@HOTMAIL.COM
30,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2021-01-05,,JUSTIN WOLFE,M,1977-06-21,3543,,LORIMILLER@YAHOO.COM
