"names","gender","address","emails","birth_dates","universities","inscription_dates","careers","locations"
JESSICA-ORTIZ,F,"7702-ROBERT-SPRINGS
NEW-REBECCATOWN,-NJ-86960",RCOLLINS@GMAIL.COM,"12-08-1942",UNIVERSIDAD-DEL-CINE,"05-12-2021",ARQUITECTURA,CARCARAÑA
DANIELLE-GONZALEZ,F,"9309-MARIA-FLATS
SOUTH-MARK,-SD-15041",MEADOWSSTEPHANIE@GMAIL.COM,"07-07-2005",UNIVERSIDAD-DEL-CINE,"27-05-2020",LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,COLONIA-BARGA
MARY-YANG,F,"44043-STEVE-HAVEN-APT.-925
LAKE-LUIS,-MS-10726",LAURA01@HOTMAIL.COM,"29-08-1985",UNIVERSIDAD-DEL-CINE,"02-07-2020",TÉCNICO-PARA-BIOTERIOS-,ARBOL-SOLO
MARIO-BOWMAN,M,"41717-BROWN-PARK
GARYMOUTH,-KY-73386",LPRATT@GMAIL.COM,"05-07-1948",UNIVERSIDAD-DEL-CINE,"08-08-2021",DISEÑO-INDUSTRIAL,RINCON-DE-MILBERG
STACEY-MEDINA,F,"78607-RYAN-FERRY-SUITE-014
NORTH-JUSTIN,-KY-38169",SARAHPHAM@YAHOO.COM,"07-04-1959",UNIVERSIDAD-DEL-CINE,"31-12-2020",CIENCIAS-VETERINARIAS,ALDEA-BELEIRO
KATHRYN-NICHOLS,F,"28738-JOSHUA-MOUNTAIN
SHARONBERG,-DE-97952",CHRISTOPHERANDERSON@YAHOO.COM,"22-12-2008",UNIVERSIDAD-DEL-CINE,"29-10-2020",LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,COLONIA-BARGA
OLIVIA-HANSEN-DVM,F,"772-CATHERINE-ALLEY-APT.-525
ROBERTSONSHIRE,-OK-17268",KENNETHMALONE@YAHOO.COM,"25-10-1918",UNIVERSIDAD-DEL-CINE,"07-05-2021",ACTUARIO-,LA-LUCILA
BOB-SIMPSON,M,"206-ERIN-SPURS
NEW-DENISEBURY,-OH-10693",CPARKER@GMAIL.COM,"20-02-1976",UNIVERSIDAD-DEL-CINE,"10-05-2020",LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,BERMUDEZ
CAMERON-LYONS,M,"382-RIVERA-BROOK-SUITE-493
NORTH-JESSE,-CT-22124",HRHODES@HOTMAIL.COM,"28-02-1915",UNIVERSIDAD-DEL-CINE,"04-06-2021",LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,COLONIA-ALBERDI
ERIC-KANE,M,"21718-HARVEY-SQUARES-SUITE-585
EAST-KELSEYBOROUGH,-AZ-52310",JAMES27@YAHOO.COM,"24-02-2009",UNIVERSIDAD-DEL-CINE,"01-01-2021",LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,SAN-JUSTO
DEBRA-LAMBERT,F,"5113-DEBORAH-PLAZA-APT.-138
NEW-JAMESSIDE,-IL-29673",JOHN49@YAHOO.COM,"25-02-1951",UNIVERSIDAD-DEL-CINE,"17-01-2020",LICENCIATURA-EN-MUSICOTERAPIA,ADAN-QUIROGA
